step,rewards,qf_loss,actor_loss,observations,action
27999,[-10108.947],33207752704.0,958337.1875,[0.         3.14159265 0.         0.        ],[-48.97968]
31999,[-60420.582],217633095680.0,1848024.25,[0.         3.14159265 0.         0.        ],[-97.369316]
35999,[-1048.4696],508559622144.0,2290967.0,[0.         3.14159265 0.         0.        ],[-20.051407]
39999,[-759.30756],669904666624.0,2778097.75,[0.         3.14159265 0.         0.        ],[-3.8247604]
43999,[-798.6029],730462552064.0,3203814.25,[0.         3.14159265 0.         0.        ],[-6.221165]
47999,[-480.97714],952374460416.0,2979012.5,[0.         3.14159265 0.         0.        ],[0.96533203]
51999,[-472.9682],1142115794944.0,3398636.5,[0.         3.14159265 0.         0.        ],[-0.24431096]
55999,[-402.2803],1743304785920.0,2367937.5,[0.         3.14159265 0.         0.        ],[1.130251]
59999,[-434.0527],1335084056576.0,2682794.75,[0.         3.14159265 0.         0.        ],[7.645292]
63999,[-426.24933],948890632192.0,2789714.5,[0.         3.14159265 0.         0.        ],[9.148709]
67999,[-526.6347],877259325440.0,2429906.5,[0.         3.14159265 0.         0.        ],[-6.4863257]
71999,[-657.0902],748190302208.0,1993202.375,[0.         3.14159265 0.         0.        ],[-6.440518]
75999,[-924.2124],783701508096.0,1561763.75,[0.         3.14159265 0.         0.        ],[-28.038082]
79999,[-41065.906],556998721536.0,1274079.625,[0.         3.14159265 0.         0.        ],[100.]
83999,[-9000.143],689642930176.0,1658414.25,[0.         3.14159265 0.         0.        ],[-17.793447]
87999,[-680.741],447586828288.0,1151139.0,[0.         3.14159265 0.         0.        ],[-20.705975]
91999,[-1086.6514],299589632000.0,586303.1875,[0.         3.14159265 0.         0.        ],[-35.310867]
95999,[-927.0665],237832142848.0,474611.75,[0.         3.14159265 0.         0.        ],[-25.414026]
99999,[-771.5382],231744798720.0,479420.46875,[0.         3.14159265 0.         0.        ],[-24.491703]
29990,[-1839.2039],1525281325056.0,2212826.5,[0.         3.14159265 0.         0.        ],[-27.66653]
35990,[-4290.7812],633032146944.0,583615.9375,[0.         3.14159265 0.         0.        ],[-76.76278]
41990,[-12214.842],340938555392.0,-431379.6875,[0.         3.14159265 0.         0.        ],[79.72073]
47990,[-3952.5166],465501487104.0,1095418.75,[0.         3.14159265 0.         0.        ],[-79.137]
53990,[-2397.2915],984903974912.0,1665763.25,[0.         3.14159265 0.         0.        ],[-56.59337]
59990,[-2241.968],1414649348096.0,2702364.0,[0.         3.14159265 0.         0.        ],[-48.804726]
65990,[-1487.3872],1787244183552.0,2921600.75,[0.         3.14159265 0.         0.        ],[-31.441011]
71990,[-921.2311],2729526427648.0,3745311.0,[0.         3.14159265 0.         0.        ],[-12.841317]
77990,[-974.8748],2174062034944.0,2851058.0,[0.         3.14159265 0.         0.        ],[-18.094631]
83990,[-875.72424],3543919755264.0,3020487.0,[0.         3.14159265 0.         0.        ],[31.076601]
89990,[-10946.918],5429344075776.0,3654812.5,[0.         3.14159265 0.         0.        ],[72.401794]
95990,[-28692.467],7192070586368.0,3363005.5,[0.         3.14159265 0.         0.        ],[11.136734]
25996,[-795.76276],4021369438208.0,1193410.0,[0.         3.14159265 0.         0.        ],[25.493149]
26996,[-878.64417],5742811676672.0,813346.75,[0.         3.14159265 0.         0.        ],[28.460207]
27996,[-1099.2949],3643645100032.0,494854.59375,[0.         3.14159265 0.         0.        ],[34.330452]
28996,[-1560.6484],5145315246080.0,-69114.1640625,[0.         3.14159265 0.         0.        ],[43.766594]
29996,[-3160.4258],4499492569088.0,-463214.84375,[0.         3.14159265 0.         0.        ],[27.748203]
30971,[-3580.6458],8866736635904.0,580043.6875,[0.         3.14159265 0.         0.        ],[44.703274]
31871,[-6223.859],11710713823232.0,-1331181.25,[0.         3.14159265 0.         0.        ],[73.20073]
32771,[-8947.387],15325571579904.0,-3629967.25,[0.         3.14159265 0.         0.        ],[99.447845]
33670,[-8567.98],20412113092608.0,-7840412.0,[0.         3.14159265 0.         0.        ],[99.784195]
34568,[-8789.335],38469074157568.0,-9490051.0,[0.         3.14159265 0.         0.        ],[99.997314]
35468,[-9137.242],68135080165376.0,-15023552.0,[0.         3.14159265 0.         0.        ],[100.]
36339,[-6766.322],113902322974720.0,-22131478.0,[0.         3.14159265 0.         0.        ],[100.]
37212,[-8192.11],185777468211200.0,-29619142.0,[0.         3.14159265 0.         0.        ],[100.]
38117,[-7593.282],334372867670016.0,-36228140.0,[0.         3.14159265 0.         0.        ],[100.]
39110,[-8463.097],422042176323584.0,-40840184.0,[0.         3.14159265 0.         0.        ],[-100.]
40110,[-7289.717],635113993928704.0,-56794004.0,[0.         3.14159265 0.         0.        ],[-99.99808]
41110,[-5923.2446],1235984347824128.0,-87584800.0,[0.         3.14159265 0.         0.        ],[-100.]
42106,[-5928.7646],3788154981056512.0,-138849152.0,[0.         3.14159265 0.         0.        ],[-100.]
43106,[-5930.3164],1.1020685291814912e+16,-201541792.0,[0.         3.14159265 0.         0.        ],[-100.]
44106,[-5926.0703],2.2098641825038336e+16,-273533888.0,[0.         3.14159265 0.         0.        ],[-100.]
45106,[-5932.905],3.673940365305446e+16,-347405248.0,[0.         3.14159265 0.         0.        ],[-100.]
46106,[-5929.943],6.08785844404224e+16,-427512512.0,[0.         3.14159265 0.         0.        ],[-100.]
47106,[-5934.6235],7.699678065852416e+16,-510179872.0,[0.         3.14159265 0.         0.        ],[-100.]
48106,[-5932.573],1.2078599087587328e+17,-586100800.0,[0.         3.14159265 0.         0.        ],[-100.]
49106,[-5928.4277],1.5603334436513382e+17,-691820672.0,[0.         3.14159265 0.         0.        ],[-100.]
50106,[-5934.299],1.987113864134656e+17,-798222464.0,[0.         3.14159265 0.         0.        ],[-100.]
51106,[-5933.8003],2.584996848158638e+17,-911558080.0,[0.         3.14159265 0.         0.        ],[-100.]
52106,[-5931.5337],3.274460732640461e+17,-1031674496.0,[0.         3.14159265 0.         0.        ],[-100.]
53106,[-5932.438],4.484294951965819e+17,-1176514560.0,[0.         3.14159265 0.         0.        ],[-100.]
54106,[-5932.833],5.852574638009221e+17,-1321294080.0,[0.         3.14159265 0.         0.        ],[-100.]
55106,[-5934.647],7.26062915718742e+17,-1481095680.0,[0.         3.14159265 0.         0.        ],[-100.]
56106,[-5934.5635],7.93724524829868e+17,-1645325184.0,[0.         3.14159265 0.         0.        ],[-100.]
57106,[-5930.856],1.1187883343536456e+18,-1807092864.0,[0.         3.14159265 0.         0.        ],[-100.]
58106,[-5934.689],1.2065269570684846e+18,-2011698560.0,[0.         3.14159265 0.         0.        ],[-100.]
59106,[-5933.9536],1.3704916285605806e+18,-2187223808.0,[0.         3.14159265 0.         0.        ],[-100.]
60106,[-5934.6953],1.7664855516674785e+18,-2410162688.0,[0.         3.14159265 0.         0.        ],[-100.]
61106,[-5932.296],2.349907586964259e+18,-2636564224.0,[0.         3.14159265 0.         0.        ],[-100.]
62106,[-5953.807],2.713446813037232e+18,-2895153152.0,[0.         3.14159265 0.         0.        ],[-100.]
63106,[-5934.6216],2.389617548913017e+18,-3129656832.0,[0.         3.14159265 0.         0.        ],[-100.]
64106,[-5934.696],3.1795690995921715e+18,-3405595392.0,[0.         3.14159265 0.         0.        ],[-100.]
65106,[-5934.202],4.27804828594969e+18,-3659007488.0,[0.         3.14159265 0.         0.        ],[-100.]
66106,[-5932.63],4.845243728643752e+18,-4006264320.0,[0.         3.14159265 0.         0.        ],[-100.]
67106,[-5933.1763],5.366169248139837e+18,-4270745088.0,[0.         3.14159265 0.         0.        ],[-100.]
68106,[-5934.141],5.667879087092269e+18,-4604190720.0,[0.         3.14159265 0.         0.        ],[-100.]
69106,[-5933.8105],7.132104219359707e+18,-4962906112.0,[0.         3.14159265 0.         0.        ],[-100.]
70106,[-5934.6953],6.970686566553354e+18,-5276105216.0,[0.         3.14159265 0.         0.        ],[-100.]
71106,[-5934.6924],7.40687217514093e+18,-5620956160.0,[0.         3.14159265 0.         0.        ],[-100.]
72106,[-5934.696],1.0994097030481052e+19,-6085388288.0,[0.         3.14159265 0.         0.        ],[-100.]
73106,[-5934.6953],1.2545212168645116e+19,-6507348992.0,[0.         3.14159265 0.         0.        ],[-100.]
74106,[-5933.768],1.3684086312695497e+19,-6925342720.0,[0.         3.14159265 0.         0.        ],[-100.]
75106,[-5934.6855],1.3763034546104697e+19,-7316373504.0,[0.         3.14159265 0.         0.        ],[-100.]
76106,[-5932.5728],1.709183898454537e+19,-7781590528.0,[0.         3.14159265 0.         0.        ],[-100.]
77106,[-5934.6274],1.7583614251765858e+19,-8242111488.0,[0.         3.14159265 0.         0.        ],[-100.]
78106,[-5934.696],2.3112640413432807e+19,-8786758656.0,[0.         3.14159265 0.         0.        ],[-100.]
